,full_reference_code,Defect,Category,section_name,section_number,sub_section_name,sub_section_number,topic_name,topic_number,sub_topic_name,sub_topic_number,point
0,0.1 (a),(a) Number plate missing or so insecure that it is likely to fall off,Major,Identification of the vehicle,0,Registration plates,1,,,,,(a)
1,0.1 (b),(b) Number plate inscription missing or illegible,Major,Identification of the vehicle,0,Registration plates,1,,,,,(b)
2,0.1 (c),(c) Number plate showing an incorrect registration,Major,Identification of the vehicle,0,Registration plates,1,,,,,(c)
3,0.1 (d),(d) Number plate does not conform to the specified requirements,Major,Identification of the vehicle,0,Registration plates,1,,,,,(d)
4,0.2 (a),(a) VIN missing or cannot be found,Major,Identification of the vehicle,0,Vehicle identification number (VIN),2,,,,,(a)
5,0.2 (b),"(b) VIN incomplete, illegible or obviously falsified",Major,Identification of the vehicle,0,Vehicle identification number (VIN),2,,,,,(b)
6,0.2 (c),(c) More than one different VIN displayed,Major,Identification of the vehicle,0,Vehicle identification number (VIN),2,,,,,(c)
7,1.1.1 (a),(a) Pivot too tight,Major,Brakes,1,Condition and operation,1,Service brake pedal or hand lever pivot,1.0,,,(a)
8,1.1.1 (b),(b) Excessive wear or free play,Major,Brakes,1,Condition and operation,1,Service brake pedal or hand lever pivot,1.0,,,(b)
9,1.1.2 (a),(a) Insufficient reserve travel,Major,Brakes,1,Condition and operation,1,Service brake pedal or hand lever condition and travel,2.0,,,(a)
10,1.1.2 (b) (i),(b) Service brake control: (i) not releasing correctly,Minor,Brakes,1,Condition and operation,1,Service brake pedal or hand lever condition and travel,2.0,,,(b) (i)
11,1.1.2 (b) (ii),(b) Service brake control: (ii) functionality of brakes affected,Major,Brakes,1,Condition and operation,1,Service brake pedal or hand lever condition and travel,2.0,,,(b) (ii)
12,1.1.2 (c),"(c) Anti-slip provision missing, loose or worn smooth",Major,Brakes,1,Condition and operation,1,Service brake pedal or hand lever condition and travel,2.0,,,(c)
13,1.1.3 (a) (i),(a) Insufficient pressure/vacuum assistance for less than: (i) four brake applications after the warning device has operated (or gauge shows an unsafe reading),Major,Brakes,1,Condition and operation,1,Air and vacuum systems,3.0,,,(a) (i)
14,1.1.3 (a) (ii),(a) Insufficient pressure/vacuum assistance for less than: (ii) two brake applications after warning device has operated (or gauge shows an unsafe reading),Dangerous,Brakes,1,Condition and operation,1,Air and vacuum systems,3.0,,,(a) (ii)
15,1.1.3 (b),(b) Time taken to build up air pressure/vacuum to safe working value not in accordance with the requirements,Major,Brakes,1,Condition and operation,1,Air and vacuum systems,3.0,,,(b)
16,1.1.3 (c),(c) Repeated operation of any ancillary air or vacuum system completely depletes the stored air or vacuum for the braking system,Major,Brakes,1,Condition and operation,1,Air and vacuum systems,3.0,,,(c)
17,1.1.3 (d),(d) Air leak causing a noticeable drop in pressure or audible air leak,Major,Brakes,1,Condition and operation,1,Air and vacuum systems,3.0,,,(d)
18,1.1.3 (e),(e) External damage likely to affect the function of the braking system,Major,Brakes,1,Condition and operation,1,Air and vacuum systems,3.0,,,(e)
19,1.1.4 (a) (i),(a) Low-pressure warning gauge or indicator: (i) malfunctioning or defective,Minor,Brakes,1,Condition and operation,1,Low-pressure warning,4.0,,,(a) (i)
20,1.1.4 (a) (ii),(a) Low-pressure warning gauge or indicator: (ii) not identifying low-pressure,Major,Brakes,1,Condition and operation,1,Low-pressure warning,4.0,,,(a) (ii)
21,1.1.5 (a),"(a) Control cracked, damaged or excessively worn",Major,Brakes,1,Condition and operation,1,Hand operated brake control valve,5.0,,,(a)
22,1.1.5 (b),(b) Control insecure on valve or valve insecure,Major,Brakes,1,Condition and operation,1,Hand operated brake control valve,5.0,,,(b)
23,1.1.5 (c),(c) Loose connections or leaks in the system,Major,Brakes,1,Condition and operation,1,Hand operated brake control valve,5.0,,,(c)
24,1.1.5 (d),(d) Malfunctioning,Major,Brakes,1,Condition and operation,1,Hand operated brake control valve,5.0,,,(d)
25,1.1.6 (a),(a) Ratchet not holding correctly,Major,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(a)
26,1.1.6 (b) (i),(b) Parking brake lever pivot or ratchet mechanism: (i) obviously worn,Minor,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(b) (i)
27,1.1.6 (b) (ii),(b) Parking brake lever pivot or ratchet mechanism: (ii) worn to the extent that the brake may inadvertently release,Major,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(b) (ii)
28,1.1.6 (c),(c) Parking brake lever has excessive movement indicating incorrect adjustment,Major,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(c)
29,1.1.6 (d),"(d) Parking brake control missing, defective or inoperative",Major,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(d)
30,1.1.6 (e),(e) Electronic parking brake MIL indicates a malfunction,Major,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(e)
31,1.1.6 (f),(f) Parking brake is not capable of being maintained in operation by direct mechanical action only (vehicle first used on or after 1 January 1968),Major,Brakes,1,Condition and operation,1,Parking brake lever or control,6.0,,,(f)
32,1.1.7 (a) (i),(a) Valve: (i) damaged or excessive air leak,Major,Brakes,1,Condition and operation,1,Brake valves,7.0,,,(a) (i)
33,1.1.7 (a) (ii),(a) Valve: (ii) leaking such that brake functionality is affected,Dangerous,Brakes,1,Condition and operation,1,Brake valves,7.0,,,(a) (ii)
34,1.1.7 (b),(b) Excessive oil discharge from a compressor or brake valve,Minor,Brakes,1,Condition and operation,1,Brake valves,7.0,,,(b)
35,1.1.7 (c),(c) Valve insecure or inadequately mounted,Major,Brakes,1,Condition and operation,1,Brake valves,7.0,,,(c)
36,1.1.7 (d) (i),(d) Hydraulic fluid: (i) leak from a brake valve,Major,Brakes,1,Condition and operation,1,Brake valves,7.0,,,(d) (i)
37,1.1.7 (d) (ii),(d) Hydraulic fluid: (ii) leak from a brake valve such that brake functionality is affected,Dangerous,Brakes,1,Condition and operation,1,Brake valves,7.0,,,(d) (ii)
38,1.1.9 (a) (i),(a) Reservoir: (i) has minor damage or corrosion,Minor,Brakes,1,Condition and operation,1,Pressure storage reservoirs,9.0,,,(a) (i)
39,1.1.9 (a) (ii),"(a) Reservoir: (ii) heavily damaged, heavily corroded or leaking",Major,Brakes,1,Condition and operation,1,Pressure storage reservoirs,9.0,,,(a) (ii)
40,1.1.9 (b) (i),(b) Drain device on an air brake system: (i) operation affected,Minor,Brakes,1,Condition and operation,1,Pressure storage reservoirs,9.0,,,(b) (i)
41,1.1.9 (b) (ii),(b) Drain device on an air brake system: (ii) inoperative,Major,Brakes,1,Condition and operation,1,Pressure storage reservoirs,9.0,,,(b) (ii)
42,1.1.9 (c),(c) Reservoir insecure or inadequately mounted,Major,Brakes,1,Condition and operation,1,Pressure storage reservoirs,9.0,,,(c)
43,1.1.10 (a) (i),(a) Brake servo: (i) defective or ineffective,Major,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(a) (i)
44,1.1.10 (a) (ii),(a) Brake servo: (ii) inoperative,Dangerous,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(a) (ii)
45,1.1.10 (b) (i),(b) Master cylinder: (i) defective but brake still operating,Major,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(b) (i)
46,1.1.10 (b) (ii),(b) Master cylinder: (ii) leaking,Dangerous,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(b) (ii)
47,1.1.10 (c),(c) Master cylinder insecure,Major,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(c)
48,1.1.10 (d) (i),(d) Brake fluid: (i) below minimum mark,Minor,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(d) (i)
49,1.1.10 (d) (ii),(d) Brake fluid: (ii) significantly below minimum mark,Major,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(d) (ii)
50,1.1.10 (d) (iii),(d) Brake fluid: (iii) not visible,Dangerous,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(d) (iii)
51,1.1.10 (e),(e) Master cylinder reservoir cap missing,Major,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(e)
52,1.1.10 (f),(f) Brake fluid warning light illuminated or defective,Minor,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(f)
53,1.1.10 (g),(g) Incorrect functioning of brake fluid level warning device,Minor,Brakes,1,Condition and operation,1,Brake servo units and master cylinder (hydraulic systems),10.0,,,(g)
